sep=,
"ID","Title","Automation Type","Created By","Created On","Estimate","Expected Result","Forecast","Goals","Mission","Preconditions","Priority","References","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Shared step ID)","Steps (Step)","Suite","Suite ID","Template","Type","Updated By","Updated On"
"C176","Verify possibility to fill ""Training Name"" field","","Anzhela Khachatryan","3/16/2022 8:37 AM","","","","","","","High","","Verify application fields","0","","Verify application fields","1. Fill ""Training Name"" field correct information
Expected Result:
1. Тhe system allows filling the field
2. The system found this training
2. Fill ""Training Name"" field field incorrect information
Expected Result:
1. The system should displays error message","","","1. Тhe system allows filling the field
2. The system found this training","","","Fill "Training Name" field correct information","Anzhela Khachatryan","S24","Test Case (Steps)","Functional","Anzhela Khachatryan","3/16/2022 11:26 AM"
"","","","","","","","","","","","","","","","","","","","","1. The system should displays error message","","","Fill "Training Name" field field incorrect information","","","","","",""
"C178","Verify  Start / End Dates  pickers  are available","","Anzhela Khachatryan","3/16/2022 8:51 AM","","","","","","","High","","Verify application fields","0","","Verify application fields","1. Click field ""Start date""
Expected Result:
1. The system must shows date pickers
2. Click field ""End date""
Expected Result:
1. The system must shows date pickers","","","1. The system must shows date pickers","","","Click field "Start date"","Anzhela Khachatryan","S24","Test Case (Steps)","Functional","Anzhela Khachatryan","3/16/2022 8:56 AM"
"","","","","","","","","","","","","","","","","","","","","1. The system must shows date pickers","","","Click field "End date"","","","","","",""
"C179","Verify ""Training center"" field","","Anzhela Khachatryan","3/16/2022 8:58 AM","","","","","","","High","","Verify application fields","0","","Verify application fields","1. Click ""Training Center"" field
Expected Result:
The system should shows empty field and drop-down list","","","The system should shows empty field and drop-down list","","","Click "Training Center" field","Anzhela Khachatryan","S24","Test Case (Steps)","Functional","Anzhela Khachatryan","3/16/2022 9:00 AM"
"C181","Verify  is field ""Duration"" shows result correctly","","Anzhela Khachatryan","3/16/2022 9:02 AM","","","","","","","High","","Verify application fields","0","","Verify application fields","1. Choose ""Start_Date""
Expected Result:
The system should displays date pickers
2. Choose ""End_Date""
Expected Result:
The system should displays date pickers
3. Verify ""Duration"" field
Expected Result:
the system should show the number of days","","","The system should displays date pickers","","","Choose "Start_Date"","Anzhela Khachatryan","S24","Test Case (Steps)","Functional","Anzhela Khachatryan","3/16/2022 9:18 AM"
"","","","","","","","","","","","","","","","","","","","","The system should displays date pickers","","","Choose "End_Date"","","","","","",""
"","","","","","","","","","","","","","","","","","","","","the system should show the number of days","","","Verify "Duration" field","","","","","",""
"C191","Verify ""Training Price"" field","","Anzhela Khachatryan","3/16/2022 11:29 AM","","","","","","","Medium","","Verify application fields","0","","Verify application fields","1. Check how filled out ""Training Price"" field 
Expected Result:
Currency must be showed next to price","","","Currency must be showed next to price","","","Check how filled out "Training Price" field ","Anzhela Khachatryan","S24","Test Case (Steps)","Functional","Anzhela Khachatryan","3/16/2022 11:36 AM"
"C182","Verify ""Search"" button functionality","","Anzhela Khachatryan","3/16/2022 9:22 AM","","","","","","","High","","Verify application buttons","0","","Verify application buttons","1. Click ""Training Center"" field
Expected Result:
The system should displays drop-down list
2. Select favorite training center and click ""Search"" button
Expected Result:
Search button works correctly. The system should displays selected information","","","The system should displays drop-down list","","","Click "Training Center" field","Anzhela Khachatryan","S24","Test Case (Steps)","Functional","Anzhela Khachatryan","3/21/2022 10:40 AM"
"","","","","","","","","","","","","","","","","","","","","Search button works correctly. The system should displays selected information","","","Select favorite training center and click "Search" button","","","","","",""
